user_id,business_id,stars
1kKi-JLBeAGPSe-guSWsCA,HOGdBz2w9VZbw2yyM-WA3g,5.0
1kKi-JLBeAGPSe-guSWsCA,JmZj7wzAJ7_4ksjG9WXdqw,5.0
1kKi-JLBeAGPSe-guSWsCA,c6ZJNNcruSMntRbm_VtbRg,4.0
qlsMfBdLLb0ho_D7ZrRERw,9zvglUorc3YOpN3SyJQKZw,2.0
qlsMfBdLLb0ho_D7ZrRERw,nMaIIKEAW2cTEWbEyeFyXQ,3.0
qlsMfBdLLb0ho_D7ZrRERw,FMnH5WIRLyexBYMBUUnDxQ,4.0
qLkmShQi5TilOST6C0pYSg,uSI9HRI2lszekJzarBeJvw,3.0
qLkmShQi5TilOST6C0pYSg,i1Xkm22_96GNVVOXSUoL0A,4.0
JKJxBaNnNiVGuoW0zPUbDw,JmZj7wzAJ7_4ksjG9WXdqw,3.0
fHdNrSQhhkCF4Pq1nWnMyA,c6ZJNNcruSMntRbm_VtbRg,5.0
RBzKEvdYmfIX_FVjfBEzHA,FMnH5WIRLyexBYMBUUnDxQ,1.0
9efCzgW1smpgjdjzCxG-Ig,upB0RQl-l529IVwgOpwOQQ,3.0
ZjGCExG23UcQdQyLPYZX4A,jCNBZnkIFv_0omLVTgNR6Q,5.0
CkIAxw9kyWhEdPv9dy2VBA,5YKsKS3nzdkwu37ORT9oiQ,5.0
29DWe8SD_RCeZ_A6ihxnhQ,ugLqbAvBdRDc-gS4hpslXw,5.0
kzRq4H_nSf4b3F_sdymWSw,k25EFzUUx0Gq9MF7O0dZkw,2.0
drTMOo4p8nL0pnMNEyat2A,Z4PkpJDhnfcUO0bje-w4kw,3.0
dLoUSe9E25agXphQjx8Svg,QOE93SXgKd8EsaUT-DaXhA,5.0
ysCBsXWPB-LAiewVS3jZfQ,6kkxRV8H9SQLybj0xnEbMw,5.0
bdRS6ZRxf6CNrnULnMI1cg,G-5kEa6E6PD5fkBRuA7k9Q,4.0
Kt-dsblXQnsUv3GjA_DFvg,aY0Y058p2_iWxMAZron2mg,5.0
-267Yx8RmdP6io2-qI4UcQ,IZrGUQHkxOxyDmifE6p7bw,4.0
XxyyTYuL7KrrBFg8a14bEA,A8ZXAfU9AM_s3ZWHu_HVFQ,3.0
Kf10dTiGlcnyhj8DBoZn1A,nBl_4gw5ecGzNkHyzfii8g,4.0
zdpn-MrLT_QPhwJ5-KHKCA,ttgfifuRK6svfWcXoGG-mQ,3.0
_lqJfN8BVwl6wxfpzkaggg,pRmb8_tAP5y4YPt_viL07g,3.0
_7FSSFpQgpjmRIG-6lL6_w,ZRLmQ3oAuspAkk5R6BOfyg,5.0
Hb2RzG3b9YEBlrwBWzGtCA,rhG-H3PNvMtuNdaKFcRwjg,4.0
JbNE1B8ZYo5mVXTxsTUsag,mnqJVQhLcPHtpVx_6kbJuw,5.0
2EuPAGalYnP7eSxPgFCNDg,xdL_wqvpmpNze3EUoDX9Pw,3.0
NnNdqH3DaleFtQk60UT-og,jG0m1-899xwYY3IXpTRRCQ,5.0
NhgU7RhuYYFmpkb1jlYJ6Q,ANKg6kIfJn5kRsc1HrBdDQ,4.0
BI4jBJVto2tEQ0NiaR0rNQ,odyYR1Bg2bqmp1kVlm8OYw,5.0
bLbSNkLggFnqwNNzzq-Ijw,jGqGbOt_h7NLPmEtbJDXTw,4.0
BTKtAXjPHjH5B3xuT4uiIw,QeShrs6cUNBjJoTCkJiB0g,4.0
cImvLb3Wvd5EZ8SRjKAPsw,-YWr1wm_NaAlgEf9TZzsMQ,3.0
0BaJ43WuBnP-G6fmstEmNQ,RqOgBMpKYdsEOmBVmFXe3g,4.0
7SUXr3dr1hnclTNoph-QjA,FaHADZARwnY4yvlvpnsfGA,3.0
Oxe8DXjBOi6C-cR2w64zOg,jUMljOsniegdenxF8SXtHQ,4.0
HuWEj615KvxRmjJq8JY7Ng,Wxxvi3LZbHNIDwJ-ZimtnA,5.0
U4ERp63gvcIeOis8UdtxvA,3b94MZ9agaZL8SMBagTwpA,5.0
TdbTpjfhOUeTCVBX9evLkw,EOzsAFr7eF8D4C3a4ZQicw,3.0
UYp9lazOwsIIaLwVrDrAQw,LIvXzdMJrIb6IY5Y3tqicA,4.0
Jon2aajFsTLdHUzVlsDFhQ,Nm6j_BNOFLiO_wRjPF9GBg,3.0
jHX2qMpRIg-W32vJgi50lw,BgGzWcWPwJ7pN5Bm78BuuA,4.0
LB5ViGU59ww2XRCx803t0w,pTbkdBDDKxNVjKUZ_6RAug,3.0
5Wg5OanfZ4-2dCxEo-qjsw,jobP3ywRd3QNZ_GCoPG2DQ,3.0
aJ-eXDPePJ6ZsY-7kMBfVQ,dm6sO_Y8JdKTE1ZM955yug,4.0
A-5DQIIb1YfQEBmabv-6Fw,n3a06UfiqY7HX3XD4bfVwg,5.0
ouS-Douov6w19Xly4aKLHQ,wpQsmMvdhefqIlxvRt_Jbg,4.0
GmXOSEbXy8JXmvo9hM5WWQ,hHe1mFDxxrtejXHfiysJJg,5.0
FTsRfaVbDUB6Sc6pL-J80w,RyaCGkXRXxXNeJhbnioz1Q,5.0
l6nCrx7263tb9Mvmc3yaFQ,axnI-1l2a_kydvL12-toIQ,4.0
vKbRbgAEYDCdl-xjPIWLfQ,gO_z_5FQVHLCiJjOsfE1fg,5.0
MP9-7BEDPWMkQGkTK097zg,qqs7LP4TXAoOrSlaKRfz3A,2.0
