iter	RMSE
0	1.061812531
1	1.022649135
2	0.9905424405
3	0.9705326544
4	0.9501891812
5	0.9372134656
6	0.9222687705
7	0.8985561219
8	0.8923316242
9	0.8825419572
10	0.8739085718
11	0.8643094681
12	0.8531595318
13	0.849370633
14	0.8416857746
15	0.8320796648
16	0.8308327382
17	0.8276181028
18	0.8242387773
19	0.8183142743
20	0.8140358198
21	0.8060818493
22	0.803730059
23	0.7964762405
24	0.792470958
25	0.7880388985
26	0.778490952
27	0.7741915876
28	0.7712106542
29	0.7694306714
30	0.7663070154
31	0.7611645417
32	0.7532948972
33	0.751319014
34	0.7483420114
35	0.7378645267
36	0.730893605
37	0.7250009137
38	0.723376388
39	0.7146888598
40	0.7052963155
41	0.7009577341
42	0.6944047472
43	0.6910094342
44	0.6885343141
45	0.6823358205
46	0.6771055605
47	0.6702343691
48	0.6657550367
49	0.6605635667
50	0.6549513309
51	0.650056645
52	0.6468306638
53	0.6429926269
54	0.6374509399
55	0.6323251965
56	0.6284269008
57	0.6221889754
58	0.6140956505
59	0.6114212079
60	0.6077892372
61	0.6012535217
62	0.5902039394
63	0.5834585005
64	0.5777893645
65	0.5757165397
66	0.5707444824
67	0.568614825
68	0.5658503867
69	0.5635770551
70	0.5616423386
71	0.5564910555
72	0.5537002235
73	0.5512002175
74	0.5458660369
75	0.541425196
76	0.5345514618
77	0.5292730579
78	0.5264507908
79	0.5222897699
80	0.52011604
81	0.5136006286
82	0.5078089101
83	0.5024276597
84	0.498666275
85	0.494661229
86	0.491118155
87	0.4867620189
88	0.4815464221
89	0.4777476846
90	0.4738498172
91	0.4704533099
92	0.4676012064
93	0.4617851054
94	0.4581875824
95	0.4560557291
96	0.4529272556
97	0.4510322591
98	0.4473134728
99	0.4433293345
100	0.4380940332
101	0.433507352
102	0.4298993471
103	0.4269044767
104	0.4246726282
105	0.4220256803
106	0.4176736462
107	0.4123505139
108	0.410528697
109	0.4066257091
110	0.4039734856
111	0.3989982608
112	0.3975681327
113	0.3945832382
114	0.3916569526
115	0.3892748198
116	0.3867757593
117	0.3814215462
118	0.3781198644
119	0.3765044651
120	0.3740490815
121	0.3719588872
122	0.3706109323
123	0.3687645861
124	0.3668774731
125	0.3642178205
126	0.3616137608
127	0.3580842961
128	0.3577586904
129	0.3570886651
130	0.3556685057
131	0.3527304518
132	0.3519479557
133	0.3505557214
134	0.3486522377
135	0.3453165127
136	0.340956594
137	0.3369976086
138	0.3348570331
139	0.3325943083
140	0.3305036784
141	0.328402374
142	0.325595344
143	0.3224128414
144	0.3188451196
145	0.3170812229
146	0.3147761572
147	0.3123154852
148	0.3109650089
149	0.3087758644
150	0.3060882448
151	0.3050233184
152	0.3028954969
153	0.3011227071
154	0.2998042223
155	0.2981764857
156	0.2958692968
157	0.2946833858
158	0.2921414572
159	0.2910375389
160	0.289408609
161	0.2871288646
162	0.2853720901
163	0.2840772475
164	0.2822568987
165	0.2807997015
166	0.2798294183
167	0.2783284493
168	0.2774187305
169	0.2763414954
170	0.27482513
171	0.2734447248
172	0.2708772025
173	0.2699258579
174	0.2676944043
175	0.2662409925
176	0.2648488054
177	0.2629406471
178	0.2623069532
179	0.260433235
180	0.2583422598
181	0.2556042533
182	0.2535957243
183	0.2521553336
184	0.2498949263
185	0.248480666
186	0.2480919414
187	0.2455498928
188	0.2446132778
189	0.2438969424
190	0.2426121016
191	0.2406311003
192	0.2388760739
193	0.2374654134
194	0.2352281296
195	0.2339925484
196	0.2327001562
197	0.2309848673
198	0.2302839707
199	0.2293307568
200	0.227556091
201	0.2255656555
202	0.2241666415
203	0.2236528287
204	0.2218394848
205	0.2207301528
206	0.2188838241
207	0.2164320713
208	0.2154878225
209	0.2145436132
210	0.2126155927
211	0.211601904
212	0.210790406
213	0.2087813834
214	0.20820373
215	0.2064788595
216	0.2059645156
217	0.2045557983
218	0.2032238472
219	0.2026670137
