iter	Passed	Remaining
0	3	2027
1	6	1857
2	9	1810
3	12	1755
4	15	1646
5	15	1413
6	17	1388
7	20	1374
8	22	1361
9	24	1339
10	27	1328
11	27	1234
12	30	1249
13	32	1241
14	34	1237
15	37	1239
16	38	1190
17	40	1190
18	41	1146
19	43	1150
20	45	1152
21	48	1152
22	50	1151
23	52	1154
24	54	1150
25	57	1151
26	57	1111
27	59	1112
28	61	1110
29	64	1111
30	64	1079
31	66	1078
32	68	1076
33	70	1075
34	73	1075
35	75	1077
36	77	1076
37	80	1077
38	82	1078
39	84	1078
40	86	1077
41	89	1076
42	91	1075
43	93	1074
44	95	1072
45	97	1071
46	100	1069
47	102	1068
48	104	1066
49	107	1067
50	109	1070
51	112	1071
52	114	1068
53	116	1068
54	119	1068
55	121	1067
56	124	1071
57	126	1069
58	128	1069
59	130	1067
60	133	1065
61	135	1064
62	137	1063
63	140	1061
64	142	1060
65	144	1059
66	147	1059
67	149	1057
68	151	1055
69	154	1054
70	156	1052
71	158	1050
72	160	1049
73	163	1049
74	165	1047
75	167	1044
76	170	1042
77	172	1042
78	174	1041
79	177	1039
80	179	1038
81	181	1036
82	184	1033
83	186	1031
84	188	1029
85	190	1028
86	193	1026
87	195	1024
88	197	1022
89	200	1020
90	202	1017
91	204	1015
92	206	1012
93	208	1011
94	211	1008
95	213	1006
96	215	1003
97	217	1001
98	219	999
99	222	996
100	224	994
101	226	992
102	228	989
103	230	987
104	233	986
105	235	983
106	237	981
107	239	979
108	242	976
109	244	974
110	246	972
111	248	969
112	250	967
113	253	965
114	255	963
115	257	961
116	260	960
117	262	957
118	264	955
119	266	953
120	269	951
121	271	949
122	273	947
123	275	945
124	278	943
125	280	940
126	282	939
127	284	937
128	287	934
129	289	932
130	291	930
131	293	928
132	296	925
133	298	923
134	300	921
135	302	919
136	305	917
137	307	914
138	309	913
139	311	910
140	313	908
141	316	906
142	318	903
143	320	900
144	322	898
145	323	892
146	325	889
147	327	887
148	329	884
149	331	882
150	333	880
151	336	879
152	338	877
153	341	874
154	343	872
155	345	871
156	347	868
157	350	866
158	351	862
159	354	860
160	356	859
161	358	857
162	361	855
163	363	853
164	365	851
165	367	847
166	369	844
167	371	843
168	374	841
169	376	838
170	379	838
171	382	838
172	385	837
173	388	836
